Supplemental table S4,,,,,,,,
,,,,,,,,
Highest classification,Middle classification,Lowest classification,Site,Habitat,Units,Mean,Upper 95% confidence interval,Lower 95% confidence interval
Diptera,Orthocladinae,Brillia,North St. Vrain confine,Riffle,mg dry mass m-2,12.6,22.68,4.95
Diptera,Orthocladinae,Orthocladinae group,North St. Vrain confine,Riffle,mg dry mass m-2,64.66,90.97,43.64
Diptera,Orthocladinae,Parametriocnemus,North St. Vrain confine,Riffle,mg dry mass m-2,12.49,22.42,2.38
Diptera,Orthocladinae,Paraorthocladius,North St. Vrain confine,Riffle,mg dry mass m-2,2.76,4.29,1.4
Diptera,Orthocladinae,Rheocricotopus,North St. Vrain confine,Riffle,mg dry mass m-2,33.21,50.37,17.4
Diptera,Simulidae,Simulidae group,North St. Vrain confine,Riffle,mg dry mass m-2,2.69,8.2,< 0.01
Diptera,Tanypodinae,Tanypodinae group,North St. Vrain confine,Riffle,mg dry mass m-2,0.66,1.75,< 0.01
Diptera,Tipulidae,Dicranota,North St. Vrain confine,Riffle,mg dry mass m-2,12.73,23.73,4.05
Ephemeroptera,Ameletidae,Ameletus,North St. Vrain confine,Riffle,mg dry mass m-2,1.94,4.14,< 0.01
Ephemeroptera,Baetidae,Baetis,North St. Vrain confine,Riffle,mg dry mass m-2,26.13,35.03,17.35
Ephemeroptera,Ephemerellidae,Drunella,North St. Vrain confine,Riffle,mg dry mass m-2,48.24,96.45,12.98
Ephemeroptera,Heptageniidae,Cinygmula,North St. Vrain confine,Riffle,mg dry mass m-2,72.17,103.9,41.79
Ephemeroptera,Heptageniidae,Epeorus,North St. Vrain confine,Riffle,mg dry mass m-2,39.55,76.77,9.13
Ephemeroptera,Heptageniidae,Rhithrogena,North St. Vrain confine,Riffle,mg dry mass m-2,93.52,140.11,51.09
Ephemeroptera,N/A,Ephemeroptera group,North St. Vrain confine,Riffle,mg dry mass m-2,7.42,16.88,1.64
Mollusca,Sphaeriidae,Sphaeriidae,North St. Vrain confine,Riffle,mg dry mass m-2,2.3,3.3,1.44
Oligochaeta,N/A,Oligochaeta,North St. Vrain confine,Riffle,mg dry mass m-2,34.14,62.74,10.85
Ostracoda,N/A,Ostracoda,North St. Vrain confine,Riffle,mg dry mass m-2,10.2,19.24,3.77
Plecoptera,Capniidae,Utacapnia,North St. Vrain confine,Riffle,mg dry mass m-2,5.69,9.09,2.92
Plecoptera,Chloroperlidae,Swelsta,North St. Vrain confine,Riffle,mg dry mass m-2,88.91,118.64,60.33
Plecoptera,Leuctridae,Perlomyia,North St. Vrain confine,Riffle,mg dry mass m-2,22.42,29.65,15.96
Plecoptera,N/A,Plecoptera group,North St. Vrain confine,Riffle,mg dry mass m-2,134.19,250.1,50.11
Plecoptera,Nemouridae,Zapada,North St. Vrain confine,Riffle,mg dry mass m-2,7.97,11.3,4.27
Tricoptera,Brachycentridae,Micrasema,North St. Vrain confine,Riffle,mg dry mass m-2,0.24,0.64,0.02
Tricoptera,Glossosomatidae,Glossosoma,North St. Vrain confine,Riffle,mg dry mass m-2,2.62,5.27,0.64
Tricoptera,Hydropsychidae,Arctopsyche,North St. Vrain confine,Riffle,mg dry mass m-2,349.37,606.69,121.22
Tricoptera,N/A,Tricoptera group,North St. Vrain confine,Riffle,mg dry mass m-2,2.4,4.49,0.28
Tricoptera,Rhyacophilidae,Rhyacophila,North St. Vrain confine,Riffle,mg dry mass m-2,37.9,75.89,9.65
Arachnida ,N/A,Arachnida ,North St. Vrain high,Pool,mg dry mass m-2,0.02,0.03,< 0.01
Coleoptera,Elmidae,Heterlimnius,North St. Vrain high,Pool,mg dry mass m-2,287.32,550.21,99.43
Copepoda,N/A,Harpacticoida/Cyclopoida group,North St. Vrain high,Pool,mg dry mass m-2,1.83,3.02,0.7
Diptera,Ceratopogonidae,Ceratopogonidae,North St. Vrain high,Pool,mg dry mass m-2,6.47,12.73,1.41
Diptera,Chironomidae,Chironomidae group 1,North St. Vrain high,Pool,mg dry mass m-2,16.79,33.74,7.02
Diptera,Chironominae,Chironominae group,North St. Vrain high,Pool,mg dry mass m-2,181.61,277.12,97.11
Diptera,Chironominae,Polypedilum,North St. Vrain high,Pool,mg dry mass m-2,136.95,221.13,65.9
Diptera,Chironominae,Stempellinella,North St. Vrain high,Pool,mg dry mass m-2,13.27,22.5,5.79
