Supplemental table S6,,,,,,,,
,,,,,,,,
Highest classification,Lowest classification,Site,Date,Habitat,Units,Mean,Standard deviation,# replicates
Diptera,Empididae,North St. Vrain low,7-Sep-2013,Riffle,mg dry mass m-2 hr-1,0.19,0.27,3
Diptera,Simuliidae,North St. Vrain low,7-Sep-2013,Riffle,mg dry mass m-2 hr-1,0.01,0.01,3
Diptera,Tipulidae,North St. Vrain low,7-Sep-2013,Riffle,mg dry mass m-2 hr-1,0.06,0.05,3
Ephemeroptera,Baetidae,North St. Vrain low,7-Sep-2013,Riffle,mg dry mass m-2 hr-1,0.16,0.16,3
Ephemeroptera,Heptageniidae,North St. Vrain low,7-Sep-2013,Riffle,mg dry mass m-2 hr-1,0.41,0.28,3
Trichoptera,Rhyacophilidae,North St. Vrain low,7-Sep-2013,Riffle,mg dry mass m-2 hr-1,0.12,0.21,3
Diptera,Chironomidae,South Fork Pourde,4-Jul-2013,Pool,mg dry mass m-2 hr-1,1.07,0.97,4
Diptera,Empididae,South Fork Pourde,4-Jul-2013,Pool,mg dry mass m-2 hr-1,0.85,1.61,4
Diptera,Phoridae,South Fork Pourde,4-Jul-2013,Pool,mg dry mass m-2 hr-1,< 0.01,0.01,4
Diptera,Simuliidae,South Fork Pourde,4-Jul-2013,Pool,mg dry mass m-2 hr-1,0.02,0.04,4
Diptera,Tipulidae,South Fork Pourde,4-Jul-2013,Pool,mg dry mass m-2 hr-1,0.15,0.15,4
Ephemeroptera,Baetidae,South Fork Pourde,4-Jul-2013,Pool,mg dry mass m-2 hr-1,0.1,0.07,4
Ephemeroptera,Leptophlebiidae,South Fork Pourde,4-Jul-2013,Pool,mg dry mass m-2 hr-1,0.14,0.2,4
Plecoptera,Chloroperlidae,South Fork Pourde,4-Jul-2013,Pool,mg dry mass m-2 hr-1,0.62,0.71,4
Plecoptera,Perlidae,South Fork Pourde,4-Jul-2013,Pool,mg dry mass m-2 hr-1,0.78,1.56,4
Trichoptera,Limnephelidae,South Fork Pourde,4-Jul-2013,Pool,mg dry mass m-2 hr-1,1.29,1.74,4
Trichoptera,Rhyacophilidae,South Fork Pourde,4-Jul-2013,Pool,mg dry mass m-2 hr-1,0.02,0.04,4
Diptera,Chironomidae,South Fork Pourde,4-Jul-2013,Riffle,mg dry mass m-2 hr-1,1.54,0.54,4
Diptera,Empididae,South Fork Pourde,4-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.92,0.32,4
Diptera,Phoridae,South Fork Pourde,4-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.01,0.01,4
Diptera,Simuliidae,South Fork Pourde,4-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.01,0.03,4
Diptera,Tipulidae,South Fork Pourde,4-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.38,0.15,4
Ephemeroptera,Baetidae,South Fork Pourde,4-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.83,1.34,4
Ephemeroptera,Heptageniidae,South Fork Pourde,4-Jul-2013,Riffle,mg dry mass m-2 hr-1,1.18,2.36,4
