Supplemental table S5,,,,,,,,
,,,,,,,,
Highest classification,Middle classification,Lowest classification,Site,Habitat,Units,Mean,Upper 95% confidence interval,Lower 95% confidence interval
Diptera,Chironominae,Polypedilum,South Fork Pourde,Riffle,mg dry mass m-2 d-1,0.3,0.61,0.09
Diptera,Diamesinae,Pagastia,South Fork Pourde,Riffle,mg dry mass m-2 d-1,1.21,1.62,0.88
Diptera,Dixidae,Dixa,South Fork Pourde,Riffle,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Diptera,Empidiae,Chelifera,South Fork Pourde,Riffle,mg dry mass m-2 d-1,0.56,0.96,0.24
Diptera,Empidiae,Empididae group,South Fork Pourde,Riffle,mg dry mass m-2 d-1,0.02,0.06,< 0.01
Diptera,N/A,Diptera group,South Fork Pourde,Riffle,mg dry mass m-2 d-1,0.01,0.02,< 0.01
Diptera,Orthocladinae,Complex II,South Fork Pourde,Riffle,mg dry mass m-2 d-1,1.02,1.69,0.44
Diptera,Orthocladinae,Eukiefferiella,South Fork Pourde,Riffle,mg dry mass m-2 d-1,0.29,0.73,0.05
Diptera,Orthocladinae,Heleniella,South Fork Pourde,Riffle,mg dry mass m-2 d-1,0.09,0.16,0.03
Diptera,Orthocladinae,Orthocladinae group,South Fork Pourde,Riffle,mg dry mass m-2 d-1,0.82,1.43,0.41
Diptera,Orthocladinae,Rheocricotopus,South Fork Pourde,Riffle,mg dry mass m-2 d-1,0.04,0.07,0.02
Diptera,Simulidae,Simulium,South Fork Pourde,Riffle,mg dry mass m-2 d-1,3.16,6,0.3
Diptera,Tanypodinae,Tanypodinae group,South Fork Pourde,Riffle,mg dry mass m-2 d-1,0.07,0.16,0.01
Diptera,Tanypodinae,Theinemannimyia complex,South Fork Pourde,Riffle,mg dry mass m-2 d-1,0.27,0.42,0.13
Diptera,Tipulidae,Dicranota,South Fork Pourde,Riffle,mg dry mass m-2 d-1,0.22,0.43,0.1
Diptera,Tipulidae,Hexatoma,South Fork Pourde,Riffle,mg dry mass m-2 d-1,0.1,0.22,0.03
Diptera,Tipulidae,Tipulidae group,South Fork Pourde,Riffle,mg dry mass m-2 d-1,1.64,2.78,0.69
Ephemeroptera,Baetidae,Baetidae group,South Fork Pourde,Riffle,mg dry mass m-2 d-1,0.85,1.29,0.49
Ephemeroptera,Ephemerellidae,Drunella,South Fork Pourde,Riffle,mg dry mass m-2 d-1,0.5,0.83,0.21
Ephemeroptera,N/A,Ephemeroptera group,South Fork Pourde,Riffle,mg dry mass m-2 d-1,0.52,0.76,0.31
Mollusca,Sphaeriidae,Sphaeriidae,South Fork Pourde,Riffle,mg dry mass m-2 d-1,0.05,0.11,0.01
Oligochaeta,N/A,Oligochaeta,South Fork Pourde,Riffle,mg dry mass m-2 d-1,0.09,0.17,0.02
Ostracoda,N/A,Ostracoda,South Fork Pourde,Riffle,mg dry mass m-2 d-1,0.01,0.02,< 0.01
Plecoptera,Chloroperlidae,Swelsta,South Fork Pourde,Riffle,mg dry mass m-2 d-1,0.26,0.49,0.1
Plecoptera,N/A,Plecoptera group,South Fork Pourde,Riffle,mg dry mass m-2 d-1,3.97,7.22,1.32
Tricoptera,Apataniidae,Allomyia,South Fork Pourde,Riffle,mg dry mass m-2 d-1,0.13,0.23,0.06
Tricoptera,Brachycentridae,Brachycentrus,South Fork Pourde,Riffle,mg dry mass m-2 d-1,1.14,1.73,0.63
Tricoptera,Glossosomatidae,Glossosoma,South Fork Pourde,Riffle,mg dry mass m-2 d-1,1.15,1.88,0.4
Tricoptera,Lepidostomatidae,Lepidostoma,South Fork Pourde,Riffle,mg dry mass m-2 d-1,0.06,0.13,0.02
Tricoptera,N/A,Tricoptera group,South Fork Pourde,Riffle,mg dry mass m-2 d-1,2.31,4,0.92
Tricoptera,Rhyacophilidae,Rhyacophila,South Fork Pourde,Riffle,mg dry mass m-2 d-1,0.31,0.57,0.1
Arachnida ,N/A,Arachnida ,South Fork Pourde,Wood,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Coleoptera,Elmidae,Heterlimnius,South Fork Pourde,Wood,mg dry mass m-2 d-1,0.75,1.26,0.3
Copepoda,N/A,Harpacticoida/Cyclopoida group,South Fork Pourde,Wood,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Diptera,Chironomidae,Chironomidae group 1,South Fork Pourde,Wood,mg dry mass m-2 d-1,0.08,0.14,0.03
Diptera,Chironomidae,Chironomidae group 2,South Fork Pourde,Wood,mg dry mass m-2 d-1,0.07,0.2,< 0.01
Diptera,Chironominae,Chironominae group,South Fork Pourde,Wood,mg dry mass m-2 d-1,0.05,0.11,0.01
Diptera,Chironominae,Microspectra,South Fork Pourde,Wood,mg dry mass m-2 d-1,0.01,0.03,< 0.01
Diptera,Chironominae,Paratendipes,South Fork Pourde,Wood,mg dry mass m-2 d-1,0.04,0.14,< 0.01
Diptera,Chironominae,Phaenospectra,South Fork Pourde,Wood,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Diptera,Chironominae,Polypedilum,South Fork Pourde,Wood,mg dry mass m-2 d-1,0.24,0.43,0.08
Diptera,Diamesinae,Pagastia,South Fork Pourde,Wood,mg dry mass m-2 d-1,0.86,1.4,0.31
Diptera,Empidiae,Chelifera,South Fork Pourde,Wood,mg dry mass m-2 d-1,0.2,0.31,0.1
Diptera,Empidiae,Empididae group,South Fork Pourde,Wood,mg dry mass m-2 d-1,0.01,0.04,< 0.01
Diptera,N/A,Diamesinae/Prodiamesinae group,South Fork Pourde,Wood,mg dry mass m-2 d-1,0.01,0.03,< 0.01
Diptera,Orthocladinae,Complex II,South Fork Pourde,Wood,mg dry mass m-2 d-1,0.58,0.95,0.27
Diptera,Orthocladinae,Eukiefferiella,South Fork Pourde,Wood,mg dry mass m-2 d-1,0.08,0.21,< 0.01
Diptera,Orthocladinae,Heleniella,South Fork Pourde,Wood,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Diptera,Orthocladinae,Orthocladinae group,South Fork Pourde,Wood,mg dry mass m-2 d-1,1.12,2.04,0.38
Diptera,Orthocladinae,Rheocricotopus,South Fork Pourde,Wood,mg dry mass m-2 d-1,0.05,0.1,0.01
Diptera,Simulidae,Simulium,South Fork Pourde,Wood,mg dry mass m-2 d-1,3.63,9.77,0.03
Diptera,Tanypodinae,Tanypodinae group,South Fork Pourde,Wood,mg dry mass m-2 d-1,0.02,0.03,0.01
Diptera,Tanypodinae,Theinemannimyia complex,South Fork Pourde,Wood,mg dry mass m-2 d-1,0.02,0.05,0.01
Diptera,Tipulidae,Dicranota,South Fork Pourde,Wood,mg dry mass m-2 d-1,0.02,0.05,< 0.01
Diptera,Tipulidae,Hexatoma,South Fork Pourde,Wood,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Diptera,Tipulidae,Tipulidae group,South Fork Pourde,Wood,mg dry mass m-2 d-1,0.01,0.02,< 0.01
Ephemeroptera,Baetidae,Baetidae group,South Fork Pourde,Wood,mg dry mass m-2 d-1,0.24,0.44,0.09
Ephemeroptera,Ephemerellidae,Drunella,South Fork Pourde,Wood,mg dry mass m-2 d-1,1.19,2.47,0.28
Ephemeroptera,N/A,Ephemeroptera group,South Fork Pourde,Wood,mg dry mass m-2 d-1,0.12,0.35,0.01
Mollusca,Sphaeriidae,Sphaeriidae,South Fork Pourde,Wood,mg dry mass m-2 d-1,< 0.01,0.01,< 0.01
Oligochaeta,N/A,Oligochaeta,South Fork Pourde,Wood,mg dry mass m-2 d-1,< 0.01,0.01,< 0.01
Plecoptera,Chloroperlidae,Swelsta,South Fork Pourde,Wood,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Plecoptera,N/A,Plecoptera group,South Fork Pourde,Wood,mg dry mass m-2 d-1,0.58,1.36,0.05
Tricoptera,Apataniidae,Allomyia,South Fork Pourde,Wood,mg dry mass m-2 d-1,< 0.01,0.01,< 0.01
Tricoptera,Brachycentridae,Brachycentrus,South Fork Pourde,Wood,mg dry mass m-2 d-1,0.07,0.16,0.01
Tricoptera,Glossosomatidae,Glossosoma,South Fork Pourde,Wood,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Tricoptera,Lepidostomatidae,Lepidostoma,South Fork Pourde,Wood,mg dry mass m-2 d-1,0.01,0.02,< 0.01
Tricoptera,N/A,Tricoptera group,South Fork Pourde,Wood,mg dry mass m-2 d-1,0.8,2.18,0.08
Tricoptera,Rhyacophilidae,Rhyacophila,South Fork Pourde,Wood,mg dry mass m-2 d-1,0.72,1.53,0.17
